name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group
ROSWELL CONSPIRACIES ALIENS MYTHS & LEGENDS,PS,2001,Action,0.02,0.02,0.0,0.0,71.0,75.0,,0.04,Playstation
FRONT MISSION,DS,2007,Strategy,0.01,0.0,0.03,0.0,72.0,89.0,E10+,0.04,Nintendo
SUSHI GO-ROUND,DS,2010,Simulation,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
WORLD CHAMPIONSHIP SPELLING,DS,2010,Misc,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
SEKAI NO GOHAN SHABERU! DS ORYOURI NAVI,DS,2008,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
TROPICO 3,PC,2009,Strategy,0.0,0.04,0.0,0.01,79.0,81.0,T,0.05,PC
BOKTAI 2 SOLAR BOY DJANGO,GBA,2004,Role-Playing,0.03,0.01,0.0,0.0,78.0,85.0,T,0.04,Nintendo
LIFE IS STRANGE,PC,2016,Adventure,0.01,0.04,0.0,0.0,83.0,86.0,M,0.05,PC
ANGELIQUE DUET,PS,1998,Strategy,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
NOBUNAGA'S AMBITION (3DS),3DS,2013,Simulation,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
JEWEL MASTER CRADLE OF ROME 2,PC,2011,Puzzle,0.0,0.04,0.0,0.01,71.0,75.0,,0.05,PC
SHIN FORTUNE QUEST SOKUTAKU NO KISHI,PS,1996,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
TSUMIKI BLOCK DROP MANIA,DS,2007,Action,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
CRUSHED BASEBALL,GBA,2004,Sports,0.03,0.01,0.0,0.0,71.0,75.0,E,0.04,Nintendo
DARK ARENA,GBA,2002,Shooter,0.03,0.01,0.0,0.0,65.0,75.0,T,0.04,Nintendo
KAMEN RIDER BATTRIDE WAR GENESIS,PS3,2016,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
HEATSEEKER,PSP,2007,Action,0.04,0.0,0.0,0.0,49.0,75.0,T,0.04,Playstation
FAMILY FORTUNES,DS,2009,Misc,0.0,0.04,0.0,0.0,71.0,75.0,,0.04,Nintendo
TOCA RACE DRIVER 2,XB,2004,Racing,0.03,0.01,0.0,0.0,71.0,83.0,T,0.04,Xbox
MY BODY COACH,Wii,2009,Sports,0.0,0.04,0.0,0.0,71.0,75.0,,0.04,Nintendo
